hhid,areaid,treatment,spandana_1,othermfi_1,anymfi_1,anybank_1,anyinformal_1,spandana_amt_1,othermfi_amt_1,anymfi_amt_1,bank_amt_1,informal_amt_1,anyloan_amt_1,newbiz_1,relative_amt_1,friend_amt_1,shg_amt_1,moneylender_amt_1,bizhat,any_newbiz_1,bizhat_any,bizhat_old,informal_amt_3,anyinformal_3,w,degree_3,shared_degree_3,nonshared_degree_3,flink_3,nflink_3,shared_flink_3,shared_nflink_3,nonshared_flink_3,nonshared_nflink_3,shared_prop_3,mfilinks_3,mfilinks_f_3,mfilinks_nf_3,mfilinks_known_3,any_mfi_link_3,mfi_group_3,stratum,span_entry_date,entry_order,ed1,ed2,ed3,ed4,ed5,kid1620,girl1620,boy1620,kid515,girl515,boy515,woman2130,man2130,woman2130_ed1,man2130_ed1,woman2130_ed2,man2130_ed2,woman2130_ed3,man2130_ed3,woman2130_ed4,man2130_ed4,woman2130_ed5,man2130_ed5,woman2130_lit,man2130_lit,woman3140,man3140,woman3140_ed1,man3140_ed1,woman3140_ed2,man3140_ed2,woman3140_ed3,man3140_ed3,woman3140_ed4,man3140_ed4,woman3140_ed5,man3140_ed5,woman3140_lit,man3140_lit,woman4150,man4150,woman4150_ed1,man4150_ed1,woman4150_ed2,man4150_ed2,woman4150_ed3,man4150_ed3,woman4150_ed4,man4150_ed4,woman4150_ed5,man4150_ed5,woman4150_lit,man4150_lit,woman5160,man5160,woman5160_ed1,man5160_ed1,woman5160_ed2,man5160_ed2,woman5160_ed3,man5160_ed3,woman5160_ed4,man5160_ed4,woman5160_ed5,man5160_ed5,woman5160_lit,man5160_lit,woman61100,man61100,woman61100_ed1,man61100_ed1,woman61100_ed2,man61100_ed2,woman61100_ed3,man61100_ed3,woman61100_ed4,man61100_ed4,woman61100_ed5,man61100_ed5,woman61100_lit,man61100_lit,religion1,religion2,religion3,religion4,religion5,caste1,caste2,caste3,caste4,latrine_any,latrine_own,num_rooms,num_rooms_pucca,roof_thatch,roof_rcc,any_old_biz,area_debt_total_base,area_pop_base,area_business_total_base,area_exp_pc_mean_base,area_literate_head_base,area_literate_base,hhsize_adj_1,adults_1,children_1,male_head_1,head_age_1,head_noeduc_1,women1845_1,anychild1318_1,spouse_literate_1,spouse_works_wage_1,ownland_hyderabad_1,ownland_village_1,informal_new_amt_1,shg_new_amt_1,anymfi_amt_1D,informal_new_amt_1D,friend_amt_1D,shg_new_amt_1D,relative_amt_1D,moneylender_amt_1D,informal_amt_1alt2,predicted_classification,MF,H,is_training,L,HxMF,LxMF,density_3,anymfi_ind,formid,slumid,h
2005,33,1,No,No,No,No,Yes,0,0,0,0,1000,0,0,0,0,0,0,0.031322021037340164,0,0.0047898381017148495,0.03355904296040535,30000,1,1,4,0,4,2,2,0,0,2,2,0,0,0,0,0,0,0,18,2006-06-13,29,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,25250,189,0,1151.8668212890625,0.6000000238418579,0.6836734414100647,2.8399999141693115,2,1,1,50,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,No,1,0,1,1,0,1,0.021164021164021163,0,2005,33,0
2020,33,1,Yes,No,Yes,Yes,Yes,21500,0,22000,65000,77400,198500,0,0,0,0,25000,0.08797789365053177,0,0.014184573665261269,0.097518689930439,211000,1,1,12,3,9,5,10,3,3,2,7,0.25,0,0,0,0,0,0,18,2006-06-13,29,0,2,2,0,0,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,0,0,1,1,25250,189,0,1151.8668212890625,0.6000000238418579,0.6836734414100647,6.699999809265137,5,3,1,42,1,2,1,0,0,0,0,95000,70000,22000,95000,0,70000,0,25000,95000,Yes,1,1,1,0,1,0,0.06349206349206349,1,2020,33,1
4313,65,1,No,No,No,No,Yes,0,0,0,0,500,500,0,0,500,0,0,0.032327353954315186,0,0.005647337529808283,0.017591917887330055,0,0,1,14,12,2,8,6,6,6,2,0,0.8571428656578064,0,0,0,0,0,0,19,2006-11-06,65,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,27950,333,12,815.4990234375,0.5,0.6176470518112183,3.799999952316284,4,0,1,39,0,1,0,1,1,0,0,500,0,0,500,500,0,0,0,500,No,1,0,1,1,0,1,0.042042042042042045,0,4313,65,0
6448,90,1,Yes,Yes,Yes,No,No,10000,7000,17000,0,0,18000,1,0,0,0,0,0.12334004044532776,NA,0.0040014395490288734,0.09214655309915543,0,0,0.7407407760620117,13,13,0,5,11,5,11,0,0,1,1,1,1,1,1,0.25,9,2007-04-27,91,0,6,0,1,0,2,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,2,0,1,0,19866.25,271,5,818.3140869140625,0.6000000238418579,0.7299578189849854,6.309999942779541,6,1,1,40,0,2,1,1,0,1,0,0,0,17000,0,0,0,0,0,0,Yes,1,1,1,0,1,0,0.04797047970479705,1,6448,90,1
5107,57,1,No,No,No,No,Yes,0,0,0,0,355000,40000,0,0,5000,0,0,0.06034005433320999,0,0.007632623426616192,0.07282798737287521,0,0,1,7,4,3,6,1,4,0,2,1,0.5714285969734192,0,0,0,0,0,0,49,2006-12-07,69,2,1,1,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,0,0,1,1,50750,224,6,1053.6571044921875,0.6000000238418579,0.6893203854560852,6.489999771118164,4,4,1,40,1,1,1,0,0,0,1,5000,0,0,5000,5000,0,0,0,5000,No,1,0,1,1,0,1,0.03125,0,5107,57,0
1373,25,1,No,No,No,No,Yes,0,0,0,0,500,500,0,0,500,0,0,0.10289370268583298,0,0.014808010309934616,0.10842025279998779,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2006-06-15,31,3,1,1,1,0,1,1,0,3,2,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,0,1,0,18350,372,4,964.8055419921875,0.5,0.6756756901741028,5.489999771118164,4,3,1,28,0,2,1,1,0,0,0,500,0,0,500,500,0,0,0,500,No,1,0,1,1,0,1,NA,0,1373,25,0
6372,90,1,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0.054012786597013474,0,0.012257141061127186,0.06000973656773567,0,0,1,2,1,1,2,0,1,0,1,0,0.5,0,0,0,0,0,0,9,2007-04-27,91,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,2,0,1,0,19866.25,271,5,818.3140869140625,0.6000000238418579,0.7299578189849854,2.9000000953674316,3,0,1,63,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,No,1,0,1,1,0,1,0.007380073800738007,0,6372,90,0
1535,26,1,No,No,No,No,Yes,0,0,0,0,70000,70000,0,0,0,0,70000,NA,0,NA,NA,20700,1,1,6,4,2,3,3,2,2,1,1,0.6666666865348816,0,0,0,0,0,0,36,2006-06-10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,25625,205,6,832.8310546875,0.550000011920929,0.6174863576889038,0.8999999761581421,1,0,0,35,1,1,0,0,1,0,0,70000,0,0,70000,0,0,0,70000,70000,No,1,0,1,1,0,1,0.02926829268292683,0,1535,26,0
1,1,1,Yes,No,Yes,No,Yes,18000,0,18000,0,93540,115780,0,18000,2000,0,71500,0.08898322284221649,0,0.015042073093354702,0.08897291123867035,150000,1,0.8196721076965332,8,2,6,4,7,2,2,2,5,0.25,0,0,0,0,0,0,2,2006-07-10,43,2,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,81050,272,11,1334.76611328125,0.5,0.5338982939720154,2.799999952316284,3,0,1,20,1,2,0,1,0,0,0,91500,0,18000,91500,2000,0,18000,71500,73500,Yes,1,1,1,0,1,0,0.029411764705882353,1,1,1,1
6683,94,1,No,No,Yes,No,Yes,0,0,7000,0,180,5180,0,0,0,0,0,0.06629245728254318,0,0.00757477106526494,0.06431475281715393,0,0,1,3,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,21,9999-12-31,93,0,3,3,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,23410,219,5,941.6474609375,0.6499999761581421,0.6326530575752258,5.289999961853027,5,1,1,44,0,3,1,1,1,0,0,5000,5000,7000,5000,0,5000,0,0,5000,No,1,0,1,1,0,1,0.0136986301369863,1,6683,94,0
